id,age,sexe,ville,cp,freqDouche,tempsDouche,debitDouche,freqBain,rempBain,freqDents,eauDents,freqVaisselle,choixVaisselle,methVaisselle,couvVaisselle,freqMal,dateMal,ecoEau,plante,momentPlante,eauPlante,freqPlante,voiture,methVoiture,freqVoiture,piscine,freqPiscine,volumePiscine,etiquette,bouteille
658,24,homme,Albert,80300,7,15,faible,0,oui,2,non,7,main,oui,24,6,recent,0,non,matin,robinet,0,oui,automatique,2,oui,oui,32,oui,robinet
659,53,homme,Montreuil,93100,7,15,moyen,2,oui,2,oui,3,main,oui,10,5,recent,10,oui,journée,pluie,30,oui,automatique,1,non,non,0,non,robinet
660,28,femme,"Villeneuve en Montagne",71390,7,5,fort,0,oui,3,oui,3,main,oui,12,4,recent,100,non,matin,robinet,0,oui,manuel,2,non,non,0,oui,bouteille
661,45,femme,"Montreuil ",93100,7,5,moyen,0,oui,1,non,7,lave-vaisselle,non,0,1,recent,1,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
662,37,femme,MONTREUIL,93100,7,5,moyen,0,oui,2,oui,3,main,oui,8,2,recent,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,bouteille
663,30,homme,amiens,80000,14,15,moyen,1,oui,2,non,8,lave-vaisselle,non,0,4,recent,0,oui,soir,robinet,16,non,automatique,0,non,non,0,non,bouteille
664,57,femme,amiens,80000,7,10,moyen,0,non,2,non,7,lave-vaisselle,non,0,4,ancien,0,non,matin,robinet,0,oui,manuel,1,non,non,0,non,robinet
665,33,homme,amiens,80000,7,10,faible,0,oui,1,oui,14,lave-vaisselle,non,0,8,ancien,0,non,matin,robinet,0,non,automatique,0,non,non,0,oui,robinet
666,47,femme,amiens,80000,14,3,moyen,0,oui,2,non,5,lave-vaisselle,non,0,8,ancien,0,non,matin,robinet,10,oui,manuel,0,non,non,0,non,robinet
667,44,homme,amiens,80000,7,5,moyen,0,oui,1,oui,2,lave-vaisselle,non,0,8,ancien,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
668,44,femme,amiens,80000,7,10,fort,0,oui,1,oui,14,main,oui,8,4,ancien,0,oui,matin,robinet,6,oui,automatique,0,non,non,0,oui,robinet
669,58,homme,paris,75016,7,25,moyen,0,oui,2,non,7,main,oui,20,4,recent,100,non,matin,robinet,0,non,automatique,0,non,non,0,non,bouteille
670,53,femme,"BRAY SUR SOMME",80340,7,10,moyen,0,oui,2,oui,3,main,oui,20,4,recent,110,oui,soir,pluie,0,oui,manuel,2,non,non,0,non,robinet
671,52,femme,Bouzincourt,80300,9,15,moyen,0,oui,2,parfois,3,main,oui,6,4,recent,100,non,matin,robinet,0,oui,automatique,1,non,non,0,oui,bouteille
672,48,femme,paris,75017,7,25,moyen,0,oui,1,oui,14,lave-vaisselle,non,0,6,recent,100,non,matin,robinet,8,oui,manuel,1,non,non,0,oui,bouteille
673,26,homme,paris,75016,7,10,fort,0,oui,2,non,14,lave-vaisselle,non,0,30,recent,0,non,matin,robinet,0,non,automatique,0,non,non,0,oui,robinet
674,46,homme,peronne,80200,14,15,faible,0,oui,2,non,21,lave-vaisselle,non,0,4,ancien,0,non,matin,robinet,0,oui,manuel,1,non,non,0,oui,robinet
675,41,homme,amiens,80000,7,10,faible,0,oui,3,non,14,main,oui,20,30,recent,0,oui,soir,pluie,0,oui,manuel,1,non,non,0,non,robinet
676,56,homme,Albert,80300,7,10,moyen,0,oui,2,oui,9,main,non,0,12,recent,0,non,matin,robinet,16,oui,manuel,2,non,non,0,non,robinet
677,54,femme,SUZANNE,80340,7,15,moyen,2,non,2,oui,7,main,oui,20,20,recent,100,non,matin,robinet,8,non,automatique,0,non,non,0,non,bouteille
678,40,homme,paris,75011,7,15,fort,0,oui,2,parfois,3,main,oui,30,4,recent,10,oui,soir,pluie,0,non,automatique,0,non,non,0,non,robinet
679,55,femme,peronne,80200,7,5,moyen,0,oui,2,oui,3,lave-vaisselle,non,0,4,ancien,0,non,matin,robinet,30,oui,automatique,1,non,non,0,non,robinet
680,53,homme,MEAULTE,80300,14,3,moyen,0,oui,1,non,7,main,oui,4,4,recent,0,oui,journée,pluie,0,oui,manuel,1,non,non,0,non,robinet
681,44,homme,CHAULNES,80320,7,5,moyen,0,oui,2,non,3,main,oui,7,4,recent,0,non,matin,robinet,0,oui,automatique,1,oui,oui,38,oui,robinet
682,32,femme,Albert,80300,7,10,moyen,0,oui,2,oui,7,lave-vaisselle,non,0,4,recent,100,non,matin,pluie,0,oui,manuel,1,non,non,0,non,bouteille
683,53,homme,MONTREUIL,93100,7,10,fort,0,oui,2,non,3,main,oui,6,4,ancien,0,non,matin,robinet,8,oui,manuel,8,non,non,0,non,bouteille
684,35,homme,amiens,80000,7,30,moyen,0,oui,1,oui,7,lave-vaisselle,non,0,3,ancien,0,non,matin,robinet,0,oui,automatique,1,non,non,0,oui,robinet
685,45,femme,Albert,80300,7,15,faible,0,oui,2,non,7,main,oui,24,6,recent,0,non,matin,robinet,0,oui,automatique,1,non,non,0,non,robinet
686,61,femme,Montreuil,93100,7,15,moyen,2,oui,2,oui,3,main,oui,10,5,recent,10,oui,journée,pluie,0,oui,automatique,1,non,non,0,non,robinet
687,44,homme,"Villeneuve en Montagne",71390,7,5,fort,0,oui,3,oui,3,main,oui,12,4,recent,100,non,matin,robinet,8,oui,automatique,2,non,non,0,oui,robinet
688,34,homme,"Montreuil ",93100,7,5,moyen,0,oui,1,non,7,lave-vaisselle,non,0,1,recent,1,non,matin,robinet,0,oui,manuel,1,non,non,0,non,bouteille
689,46,homme,MONTREUIL,93100,7,5,moyen,0,oui,2,oui,3,main,oui,8,2,recent,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
690,48,homme,albert,80300,7,5,faible,0,oui,2,non,14,lave-vaisselle,non,0,30,recent,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
691,42,homme,amiens,80000,7,3,moyen,0,oui,2,non,14,main,oui,16,4,recent,1,non,matin,robinet,8,non,automatique,0,oui,non,75,non,robinet
692,49,homme,amiens,80000,7,5,fort,0,oui,1,non,1,main,non,0,4,recent,100,non,matin,robinet,0,non,automatique,0,non,non,0,oui,bouteille
693,47,femme,Albert,80300,7,10,moyen,0,oui,2,non,14,lave-vaisselle,non,0,10,recent,10,oui,soir,pluie,6,oui,manuel,1,non,non,0,non,bouteille
694,28,homme,Bouzincourt,80300,14,10,moyen,0,oui,2,non,7,main,oui,20,4,ancien,0,non,matin,robinet,0,oui,automatique,1,non,non,0,non,robinet
695,52,femme,amiens,80000,7,15,fort,2,non,3,oui,2,main,oui,16,30,recent,0,oui,matin,pluie,0,oui,manuel,2,non,non,0,non,robinet
696,49,homme,peronne,80200,7,5,moyen,0,oui,1,non,7,lave-vaisselle,non,0,12,recent,100,non,matin,pluie,0,non,automatique,0,oui,oui,54,oui,robinet
697,27,homme,amiens,80000,7,10,moyen,3,oui,2,non,14,main,non,0,20,ancien,101,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
698,40,homme,amiens,80000,7,5,fort,0,oui,1,oui,7,main,oui,16,8,ancien,0,non,matin,robinet,8,non,automatique,0,non,non,0,non,robinet
699,57,homme,Albert,80300,7,3,moyen,0,oui,2,parfois,7,lave-vaisselle,non,0,8,ancien,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
700,49,femme,amiens,80000,7,5,fort,0,oui,2,oui,3,main,oui,20,10,ancien,100,oui,soir,pluie,0,non,automatique,0,non,non,0,non,bouteille
701,29,femme,amiens,80000,7,5,moyen,0,oui,1,oui,14,main,oui,16,4,ancien,100,non,matin,robinet,16,oui,manuel,1,non,non,0,non,robinet
702,32,homme,albert,80300,7,5,faible,0,oui,2,non,14,lave-vaisselle,non,0,30,recent,0,non,matin,robinet,0,oui,automatique,2,non,non,0,oui,robinet
703,24,homme,amiens,80000,7,3,moyen,0,oui,2,non,14,main,oui,16,4,recent,1,non,matin,robinet,6,oui,manuel,2,non,non,0,oui,robinet
704,27,femme,amiens,80000,7,5,fort,0,oui,1,non,1,main,non,0,4,recent,100,non,matin,robinet,0,oui,automatique,4,non,non,0,non,bouteille
705,43,femme,Albert,80300,7,10,moyen,0,oui,2,non,14,lave-vaisselle,non,0,10,recent,10,oui,soir,pluie,0,oui,manuel,1,non,non,0,oui,robinet
706,54,homme,Bouzincourt,80300,14,10,moyen,0,oui,2,non,7,main,oui,20,4,ancien,0,non,matin,robinet,30,oui,automatique,4,non,non,0,non,bouteille
707,53,homme,amiens,80000,7,15,fort,2,non,3,oui,2,main,oui,16,30,recent,0,oui,matin,pluie,0,oui,automatique,1,non,non,0,non,bouteille
708,46,homme,amiens,80000,7,15,fort,2,non,3,oui,2,main,oui,16,30,recent,0,oui,matin,pluie,0,oui,manuel,2,non,non,0,non,robinet
709,42,homme,peronne,80200,7,5,moyen,0,oui,1,non,7,lave-vaisselle,non,0,12,recent,100,non,matin,pluie,30,oui,automatique,1,non,non,0,non,robinet
710,58,femme,amiens,80000,7,10,moyen,3,oui,2,non,14,main,non,0,20,ancien,101,non,matin,robinet,0,oui,manuel,1,non,non,0,oui,robinet
711,46,homme,MONTREUIL,93100,7,5,moyen,0,oui,2,oui,3,main,oui,8,2,recent,0,non,matin,robinet,0,oui,automatique,1,non,non,0,oui,robinet
712,48,femme,CHAUFFAILLES,71170,5,10,moyen,0,oui,3,oui,16,main,non,0,18,recent,1,oui,soir,pluie,2,oui,manuel,1,non,non,0,oui,bouteille
713,24,homme,montreuil,93100,7,15,moyen,0,oui,2,parfois,7,lave-vaisselle,non,0,8,ancien,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
714,60,femme,"Bures sur Yvette ",91940,7,6,moyen,0,oui,3,oui,4,lave-vaisselle,non,0,12,recent,11,oui,soir,pluie,3,oui,automatique,0,non,non,0,oui,robinet
715,23,homme,"Bures sur Yvette",91440,7,8,moyen,0,oui,2,oui,3,lave-vaisselle,non,0,6,recent,11,oui,soir,robinet,4,non,automatique,0,non,non,0,non,robinet
