id,age,sexe,ville,cp,freqDouche,tempsDouche,debitDouche,freqBain,rempBain,freqDents,eauDents,freqVaisselle,choixVaisselle,methVaisselle,couvVaisselle,freqMal,dateMal,ecoEau,plante,momentPlante,eauPlante,freqPlante,voiture,methVoiture,freqVoiture,piscine,freqPiscine,volumePiscine,etiquette,bouteille
69,21,homme,"Saint Leu la Foret",95320,7,13,fort,0,oui,2,oui,3,lave-vaisselle,non,0,20,ancien,0,oui,soir,robinet,15,non,manuel,1,non,non,0,non,bouteille
70,22,homme,MONTREUIL,93100,7,3,fort,0,oui,2,non,7,main,oui,20,4,recent,0,non,matin,robinet,0,oui,automatique,1,non,non,0,non,robinet
71,29,homme,amiens,80000,7,5,fort,1,oui,3,non,14,main,oui,20,8,ancien,100,non,matin,robinet,0,oui,manuel,2,non,non,0,non,bouteille
72,26,femme,Albert,80300,7,15,moyen,0,oui,2,oui,14,main,oui,20,4,recent,10,oui,soir,pluie,8,oui,automatique,1,non,non,0,oui,bouteille
74,56,homme,"Villeneuve en Montagne",71390,7,8,moyen,0,oui,0,oui,3,lave-vaisselle,non,0,4,recent,1,oui,soir,pluie,10,oui,manuel,0,non,non,0,oui,robinet
75,21,femme,"Montreuil ",93100,7,25,moyen,0,oui,1,oui,2,main,non,0,4,ancien,0,non,matin,robinet,0,non,automatique,0,non,non,0,oui,robinet
76,54,femme,BRIIS-sous-Forges,91640,7,10,moyen,0,oui,1,oui,3,lave-vaisselle,non,0,12,ancien,1,oui,soir,robinet,6,oui,automatique,0,non,non,0,oui,robinet
77,58,femme,CHAUFFAILLES,71170,6,10,fort,0,oui,1,parfois,3,lave-vaisselle,non,0,3,recent,0,oui,matin,robinet,3,oui,automatique,0,non,non,0,oui,bouteille
78,27,femme,Palaiseau,91120,7,15,moyen,0,oui,2,oui,6,lave-vaisselle,non,0,8,recent,0,non,matin,robinet,0,oui,automatique,0,non,non,0,oui,bouteille
79,51,homme,Paris,75003,7,15,fort,0,oui,1,non,2,lave-vaisselle,non,0,8,recent,0,oui,journée,robinet,5,non,automatique,0,non,non,0,non,robinet
80,45,femme,Paris,75010,14,15,moyen,0,oui,3,non,7,lave-vaisselle,non,0,8,ancien,100,non,matin,robinet,0,oui,automatique,0,non,non,0,oui,bouteille
81,31,homme,Chauffailles,71170,7,15,faible,0,oui,1,non,2,lave-vaisselle,non,0,8,recent,110,non,matin,robinet,0,oui,automatique,1,non,non,0,oui,robinet
82,25,femme,Nice,6300,5,5,moyen,0,oui,2,oui,7,main,non,0,12,ancien,100,non,matin,robinet,0,oui,manuel,0,non,non,0,oui,robinet
83,48,femme,Dijon,21000,7,10,moyen,0,oui,1,oui,5,lave-vaisselle,non,0,15,ancien,111,oui,soir,pluie,5,oui,automatique,0,non,non,0,oui,robinet
84,49,homme,Paris,75003,7,6,faible,0,oui,2,oui,1,lave-vaisselle,non,0,5,recent,100,oui,soir,robinet,4,non,automatique,0,non,non,0,oui,robinet
555,21,femme,amiens,80000,7,5,moyen,0,oui,2,oui,3,main,oui,20,30,recent,1,non,matin,robinet,0,non,automatique,0,non,non,0,non,bouteille
